"","lsam","linc","educ","cacc","sacc","hous","life","occ"
"15700",3.91202300542815,9.08817273800197,4,1,1,4,2,7
"15701",9.21532791348722,14.3163161484479,17,3,3,3,2,6
"15702",9.21532791348722,14.2342537870183,17,3,3,3,2,6
"15703",9.21532791348722,14.3520331678175,17,3,3,3,2,6
"15704",9.21532791348722,14.2210089988502,17,3,3,3,2,6
"15705",9.21532791348722,14.3520331678175,17,3,3,3,2,6
"15706",13.8925178943251,16.2287466473111,17,5,3,3,1,6
"15707",13.8353622036669,16.2278509951941,17,5,3,3,1,6
"15708",13.7300071343503,16.2278509951941,17,5,3,3,1,6
"15709",13.8832159343183,16.2305355485534,17,5,3,3,1,6
"15710",13.8738266347871,16.2287466473111,17,5,3,3,1,6
"15711",7.34601020991329,11.3391671388368,16,3,3,3,1,6
"15712",7.34601020991329,11.3391671388368,16,3,3,3,1,6
"15713",7.34601020991329,11.3391671388368,16,3,3,3,1,6
"15714",7.34601020991329,11.350994597824,16,3,3,3,1,6
"15715",7.34601020991329,11.3391671388368,16,3,3,3,1,6
"15716",5.85793315448346,10.7374830416835,13,3,3,4,1,4
"15717",5.85793315448346,10.7374830416835,13,3,3,4,1,4
"15718",5.85793315448346,10.7374830416835,13,3,3,4,1,4
"15719",5.85793315448346,10.7374830416835,13,3,3,4,1,4
"15720",5.85793315448346,10.7374830416835,13,3,3,4,1,4
"15721",3.91202300542815,10.6930806313643,12,2,1,4,1,7
"15722",3.91202300542815,10.6930806313643,12,2,1,4,1,7
"15723",3.91202300542815,10.6930806313643,12,2,1,4,1,7
"15724",3.91202300542815,10.6930806313643,12,2,1,4,1,7
"15725",3.91202300542815,10.6930806313643,12,2,1,4,1,7
"15726",5.29831736654804,10.7155282630365,12,2,2,4,1,3
"15727",5.56068163101553,10.7155282630365,12,2,2,4,1,3
"15728",5.01063529409626,10.7155282630365,12,2,2,4,1,3
"15729",5.99146454710798,10.7155282630365,12,2,2,4,1,3
"15730",6.23441072571837,10.7155282630365,12,2,2,4,1,3
"15731",11.4621583479166,10.2417439109508,16,3,3,3,1,7
"15732",11.4621583479166,10.2767737622801,16,3,3,3,1,7
"15733",11.4621583479166,10.2417439109508,16,3,3,3,1,7
"15734",11.4621583479166,10.2767737622801,16,3,3,3,1,7
"15735",11.4621583479166,10.2417439109508,16,3,3,3,1,7
"15736",3.91202300542815,14.665682854627,16,4,1,3,1,7
"15737",3.91202300542815,14.665682854627,16,4,1,3,1,7
"15738",3.91202300542815,14.6614002845391,16,4,1,3,1,7
"15739",3.91202300542815,14.665682854627,16,4,1,3,1,7
"15740",3.91202300542815,14.665682854627,16,4,1,3,1,7
"15741",3.91202300542815,9.85482238055485,14,2,1,3,2,7
"15742",3.91202300542815,9.85482238055485,14,2,1,3,2,7
"15743",3.91202300542815,9.85482238055485,14,2,1,3,2,7
"15744",3.91202300542815,9.85482238055485,14,2,1,3,2,7
"15745",3.91202300542815,9.85482238055485,14,2,1,3,2,7
"15746",11.8207777442114,15.4249584703484,17,4,5,4,1,7
"15747",11.8848337895495,15.525707415049,17,4,5,4,1,7
"15748",11.9643195049668,15.4368869226378,17,4,5,4,1,7
"15749",11.9579317476989,15.5347082948908,17,4,5,4,1,7
"15750",11.7984802764058,15.4427982116612,17,4,5,4,1,7
"15751",7.62559507213245,10.8599600740431,16,3,3,4,2,5
"15752",7.62559507213245,10.8599600740431,16,3,3,4,2,5
"15753",7.62559507213245,10.8207777847434,16,3,3,4,2,5
"15754",7.62559507213245,10.9339994285003,16,3,3,4,2,5
"15755",7.62559507213245,10.9339994285003,16,3,3,4,2,5
"15756",3.91202300542815,10.5466563632898,13,2,1,4,1,7
"15757",3.91202300542815,10.5466563632898,13,2,1,4,1,7
